Follower Account,Follower Name,Following Account,Following Name
adelerasmus_,Adel Erasmus,Tania Weideman,weidemantania
mcgowanmichelle,Michelle McGowan,Adel Erasmus,adelerasmus_
nosihlembokazi,~**nocy@sihle.*.*.Mbokazy..~*,~**nocy@sihle.*.*.Mbokazy..~*,nosihlembokazi
nxxzneen_,Follow,Penz,penny.j456
ronelfourie71,Ronel,Melissa Webb,melissawebb02
ebethdowning,Ebeth Downing,Courtney Shauned,courtney_shauned
g_sizzle89,Gisele Gaiser,Follow,nxxzneen_
calicocal1980,Joshua Callaway,Ronel,ronelfourie71
glinishaa,glenisha govender,DC Bros Civil Associates,dcbroscivilass
fit_beet,Fit Beet,Fit Beet,fit_beet
sultryfreespirt,Shakiraah Smitsdorff,Ebeth Downing,ebethdowning
veganproductssa,veganproductssa,Gisele Gaiser,g_sizzle89
sublimestrawberries,Sarah,Joshua Callaway,calicocal1980
my_girlfriends_kitchen_,MY GIRLFRIENDS KITCHEN 🧁,glenisha govender,glinishaa
earth_chef__earth_kinds,Martin,Shakiraah Smitsdorff,sultryfreespirt
mawethu84,Vegan_Wethu,Sammy_23,sammy_23782
asmusiekbeginspeel,Follow,MY GIRLFRIENDS KITCHEN 🧁,my_girlfriends_kitchen_
maunesnyman,M a u n é,Simone Nicola Roos,r00ssimone
alexandradeardorff,Alexandra Massey,Natasha,atashaaoun
gabriellevanheesch,Gabrielle Van Heesch,Cara Michelle Fourie,c_wanderer
alishab108,alisha,Marcelle Rudden,marcellerudden
maicar13,mai,Martin,earth_chef__earth_kinds
louisereddy,Louise Reddy,Vegan_Wethu,mawethu84
dembe_mudix,Dembe Mudimeli,Follow,asmusiekbeginspeel
dalene.nel.001,Dalene Nel,M a u n é,maunesnyman
omirowland,Naomi Rowland,Alexandra Massey,alexandradeardorff
hashinigarach,Hashini Garach,Gabrielle Van Heesch,gabriellevanheesch
koensveg,Koen's Veg,alisha,alishab108
scrunchrhis,ScrunchRhi’s | Scrunchies,Ayanda Panda🐼,itsayandapanda
naomiriver,Naomi🌺直実🦓娜美❄️แพรว,Sarah,sublimestrawberries
anjali_hariparsad,Anj,mai,maicar13
teezi.fenshie,Therese Fensham Bester,Louise Reddy,louisereddy
thamsanqadu,Bele Belle Bakery,Dembe Mudimeli,dembe_mudix
judys_health_,Judy ♍,Dalene Nel,dalene.nel.001
k8te263,Kate Webb,Naomi Rowland,omirowland
lilli3lilli,Lisa,zeenat,zeenat_johnstone
bilkish_vawda,Bilkish Vawda,Hashini Garach,hashinigarach
lestaffelz,Tafadzwa Dube-Zvirikuzhe,Koen's Veg,koensveg
bearbirdwhistle,Claire Birdwhistle,Tafadzwa Dube-Zvirikuzhe,lestaffelz
becca_loves_it,Rebecca Lovett,Naomi🌺直実🦓娜美❄️แพรว,naomiriver
terriliscious,Terri Lurie,Nicki Russell,nixyrussell
iyeza_lesixhosa,Iyeza Lam,Giorg Hannan,giorghannan
judyngwenya,Judy Ngwenya,Therese Fensham Bester,teezi.fenshie
lauren.white.89,Lauren White,Christelle,stella24_cpt
mandybandz,Follow,𝙹𝙾𝙱𝙴𝙻𝙸𝙷𝙻𝙴 🧿,jobelihle4763
dralchemy91,kurtVdayal,Judy ♍,judys_health_
daleen_plantpowerrunner,Daleen Venter,Kgoki Dubula,kgokidubula
natashadusrathmisra,Natasha,Follow,dominikkk_a
nailtechsparkles,Sea Green Sparkles 🌱,Lisa,lilli3lilli
mamello_ntsele,mamello ndumo,Bilkish Vawda,bilkish_vawda
nellylangamkhize,Nelly Langa Mkhize,Terri Lurie,terriliscious
diri1404,Diri!,renita,renita_beachoo
ngoku_brand_growth,NGOKU Brand Growth (Pty) Ltd,Iyeza Lam,iyeza_lesixhosa
mandy_leighw,Mandy Leigh,Judy Ngwenya,judyngwenya
b_s_k_95,Simz,veganproductssa,veganproductssa
2limat,Thuli,Lauren White,lauren.white.89
therazensportsmassage,therazen,Kate Webb,k8te263
booth_and_company,Booth&Co.,Kaitlyn,kaitplantbased
groundcoverhillcrest,Groundcover Hillcrest,ꪀⅈᥴꪮꪶꪖ ᭙ꪖꪶꪶꫀ𝕣,nicola.waller
facesock.sa,Face Sock 🇿🇦,Love Coffee,lovecoffee.dbn
plantalicioussa,Plantalicious,Follow,mandybandz
neophytegarments,NEOPHYTE ®,kurtVdayal,dralchemy91
durbangasonwheels,Durban Gas on Wheels,Daleen Venter,daleen_plantpowerrunner
clarkandkent100,Clark And Kent Pty Ltd,Sea Green Sparkles 🌱,nailtechsparkles
