Repository,PR No.,URL,comments,username of commentor
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@HarshCasper Please assign me issue #662, and review what is the wrong check here dude?",kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"Few changes:

Remove 1.pdf and 2.pdf. Instead, take the inputs dynamically from the User.
Remove the .gitignore from the commits. We have a global .gitignore for the purpose.
Follow the README Template and add proper documentation for the Project",HarshCasper
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,Are you working on this @kumarankm ?,HarshCasper
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"Are you working on this @kumarankm ?

@HarshCasper Yes, I'm working on it.",kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,@kumarankm are you working on this? Please resolve the comments and changes. Let me know if you are facing any roadblocks!,sohamsshah
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@kumarankm are you working on this? Please resolve the comments and changes. Let me know if you are facing any roadblocks!

Yeah, I will resolve it soon. The main issue I'm facing is, getting the dynamic input is a bit complicated. So is there any alternate method do to? @sohamsshah",kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@kumarankm are you working on this? Please resolve the comments and changes. Let me know if you are facing any roadblocks!

Yeah, I will resolve it soon. The main issue I'm facing is, getting the dynamic input is a bit complicated. So is there any alternate method do to? @sohamsshah



@kumarankm are you working on this? Please resolve the comments and changes. Let me know if you are facing any roadblocks!

Yeah, I will resolve it soon. The main issue I'm facing is, getting the dynamic input is a bit complicated. So is there any alternate method do to? @sohamsshah

Can you elaborate on what you mean by dynamic input?",sohamsshah
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@sohamsshah  Okay, Actually the work assigned to me is to merge two pdf. But I have done it by using the pdf which was taken already in the local directory but later harsh mentioned that we need to take a pdf input from the user. So I have been searching on the various resources but still, I couldn't able to find the solution.",kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,@HarshCasper Can you make this as gssoc project by adding label? Cause I'm working on it to solve the issues.,kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@kumarankm I will get the labels done, but the number of commits is way too many,
Please squash them in 1
THis thread will help you",vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@kumarankm I will get the labels done, but the number of commits is way too many,
Please squash them in 1
THis thread will help you

Okay thank you @vybhav72954",kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@sohamsshah Okay, Actually the work assigned to me is to merge two pdf. But I have done it by using the pdf which was taken already in the local directory but later harsh mentioned that we need to take a pdf input from the user. So I have been searching on the various resources but still, I couldn't able to find the solution.

Were you able to solve the issue?
I guess this npm package will be a good one to explore and implement.
Let me know if you find any issues in implementation. Keep me posted on this, would be happy to help you out.",sohamsshah
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@sohamsshah Okay, Actually the work assigned to me is to merge two pdf. But I have done it by using the pdf which was taken already in the local directory but later harsh mentioned that we need to take a pdf input from the user. So I have been searching on the various resources but still, I couldn't able to find the solution.

Were you able to solve the issue?
I guess this npm package will be a good one to explore and implement.
Let me know if you find any issues in implementation. Keep me posted on this, would be happy to help you out.

@sohamsshah Okay I will see through it :) thank you",kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,"@kumarankm I will get the labels done, but the number of commits is way too many,
Please squash them in 1
THis thread will help you

@vybhav72954 Yeah I have squashed the commit to ""finalmerge"".  Now it's okay dude?",kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,@vybhav72954 Ignore that final commit I did :) I totally messed up that one,kumarankm
https://github.com/HarshCasper/Rotten-Scripts,731,https://github.com/HarshCasper/Rotten-Scripts/pull/731,@sohamsshah @HarshCasper @seema1711,vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,763,https://github.com/HarshCasper/Rotten-Scripts/pull/763,"Hello @HarshCasper, I know this is a very large change to merge, so we may have a review period of 2-3 weeks, and I am happy to resolve any conflicts, (may need permission to the repo).",avinal
https://github.com/HarshCasper/Rotten-Scripts,763,https://github.com/HarshCasper/Rotten-Scripts/pull/763,"Hello @HarshCasper, I know this is a very large change to merge, so we may have a review period of 2-3 weeks, and I am happy to resolve any conflicts, (may need permission to the repo).

Sure. Can you please drop me a mail here and I will share the due permissions sure after. It will take at least a week for review and we can hopefully deploy it this week.",HarshCasper
https://github.com/HarshCasper/Rotten-Scripts,763,https://github.com/HarshCasper/Rotten-Scripts/pull/763,"Hello @HarshCasper, I know this is a very large change to merge, so we may have a review period of 2-3 weeks, and I am happy to resolve any conflicts, (may need permission to the repo).

Sure. Can you please drop me a mail here and I will share the due permissions sure after. It will take at least a week for review and we can hopefully deploy it this week.

Tagging @vybhav72954 and @seema1711 who might be able to help us with the review.",HarshCasper
https://github.com/HarshCasper/Rotten-Scripts,763,https://github.com/HarshCasper/Rotten-Scripts/pull/763,"Hello @HarshCasper, I know this is a very large change to merge, so we may have a review period of 2-3 weeks, and I am happy to resolve any conflicts, (may need permission to the repo).

Sure. Can you please drop me a mail here and I will share the due permissions sure after. It will take at least a week for review and we can hopefully deploy it this week.

Tagging @vybhav72954 and @seema1711 who might be able to help us with the review.

Feel free to ask doubts about restructuredtext and sphinx syntax, Its mostly similar to markdown, should be easier to catch up for you guys. Again in any case I am just a ping away.",avinal
https://github.com/HarshCasper/Rotten-Scripts,763,https://github.com/HarshCasper/Rotten-Scripts/pull/763,@avinal @HarshCasper @seema1711  Let's do this 🤩,vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,763,https://github.com/HarshCasper/Rotten-Scripts/pull/763,"@vybhav72954 and @avinal : I will share the collaborator access to both of you for the repository. Since I have both of your Mail IDs, I can setup some day to have a short call ( ~15 mins) so that we can start reviewing it up.",HarshCasper
https://github.com/HarshCasper/Rotten-Scripts,763,https://github.com/HarshCasper/Rotten-Scripts/pull/763,"Yeah sure, we can have a meet. 🤩",avinal
https://github.com/HarshCasper/Rotten-Scripts,896,https://github.com/HarshCasper/Rotten-Scripts/pull/896,"@Yuvraj-kadale The script has some styling irregularities
Kindly go through this blog once, Use autopep8 (preferable) and/or yapf (don't use black)
Make sure to make aggressive changes if using autopep8",vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,896,https://github.com/HarshCasper/Rotten-Scripts/pull/896,"Nice blog, I will make the necessary changes.

@Yuvraj-kadale The script has some styling irregularities
Kindly go through this blog once, Use autopep8 (preferable) and/or yapf (don't use black)
Make sure to make aggressive changes if using autopep8",Yuvraj-kadale
https://github.com/HarshCasper/Rotten-Scripts,903,https://github.com/HarshCasper/Rotten-Scripts/pull/903,@srimontidutta you have not incorporated all the changes I suggested in the previous PR as well.,vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,903,https://github.com/HarshCasper/Rotten-Scripts/pull/903,"Wait, there is a small mistake here!
There are 2 directories in the PR.
You have kept the older files as well. I think the branch you made for this PR was checked out from some other branch than the master.",vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,903,https://github.com/HarshCasper/Rotten-Scripts/pull/903,"Please do one thing. In your branch issue-444new kindly delete the directory Test Data Generator (mind the missing underscores). The file is still in your codebase and we don't require it. Do a fresh git add and then a git commit, push the changes in the branch so that the unnecessary files are no longer in the codebase.",vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,903,https://github.com/HarshCasper/Rotten-Scripts/pull/903,@vybhav72954 I have made the suggested changes. Kindly review it.,srimontidutta
https://github.com/HarshCasper/Rotten-Scripts,916,https://github.com/HarshCasper/Rotten-Scripts/pull/916,"Can you add a demo Video/GIF to the PR description? Thanks!

Hey, my pc is not responding to the screen recording I tried. Is this is compulsory?",haarsh01
https://github.com/HarshCasper/Rotten-Scripts,916,https://github.com/HarshCasper/Rotten-Scripts/pull/916,"Can you add a demo Video/GIF to the PR description? Thanks!

Hey, my pc is not responding to the screen recording I tried. Is this is compulsory?

Try OBS or Bandicam. A demonstration helps us to ensure that such scripts work properly. alternatively send us some screenshot that can properly justify the working of scirpt",vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,916,https://github.com/HarshCasper/Rotten-Scripts/pull/916,"Can you add a demo Video/GIF to the PR description? Thanks!

Hey, my pc is not responding to the screen recording I tried. Is this is compulsory?

Try using the Awesome Screenshot extension. Otherwise trying out locally would require wait for a few days.",HarshCasper
https://github.com/HarshCasper/Rotten-Scripts,916,https://github.com/HarshCasper/Rotten-Scripts/pull/916,"Can you add a demo Video/GIF to the PR description? Thanks!

Hey, my pc is not responding to the screen recording I tried. Is this is compulsory?

Try using the Awesome Screenshot extension. Otherwise trying out locally would require wait for a few days.

Ok got it. I will do it by tommrow.",haarsh01
https://github.com/HarshCasper/Rotten-Scripts,918,https://github.com/HarshCasper/Rotten-Scripts/pull/918,"No it also works to enhance the image as is done in a CamScanner. Yet I'll
look into it again and see what best can be done.😁

…
On Wed, Mar 31, 2021, 2:46 PM Harsh Mishra ***@***.***> wrote:
 *@HarshCasper* requested changes on this pull request.

 Hi @SmritiAgrawal04 <https://github.com/SmritiAgrawal04>

 Great Work! I have a few questions: Is the sole purpose of this Script to
 convert an Image to grayscale?

 If yes, can we think of some customizations to this, that can make it near
 to an actual camscanner?

 —
 You are receiving this because you were mentioned.
 Reply to this email directly, view it on GitHub
 <#918 (review)>,
 or unsubscribe
 <https://github.com/notifications/unsubscribe-auth/ANCEMHZVGC2OFBX4LMAFIDDTGLR55ANCNFSM42CNIBBQ>
 .",SmritiAgrawal04
https://github.com/HarshCasper/Rotten-Scripts,918,https://github.com/HarshCasper/Rotten-Scripts/pull/918,"Hi @vybhav72954
I've changed the script and added 8 ways to scan the image, please check if any of these suffices our requirements. The script runs the same way as before- check the README. Also, @rahulraikwar00 the script now does not get stuck.",SmritiAgrawal04
https://github.com/HarshCasper/Rotten-Scripts,936,https://github.com/HarshCasper/Rotten-Scripts/pull/936,@vybhav72954 @HarshCasper   could you please review it ?,rahulraikwar00
https://github.com/HarshCasper/Rotten-Scripts,936,https://github.com/HarshCasper/Rotten-Scripts/pull/936,"I checked the pylint score as well, the average was 8. Maybe we can increase it using the above-mentioned tools as well.",vybhav72954
https://github.com/HarshCasper/Rotten-Scripts,936,https://github.com/HarshCasper/Rotten-Scripts/pull/936,"@rahulraikwar00 Considering we are about to properly finalize this project, let's enforce PEP-8 Guidelines as well shall we?
Do you know how to use autopep-8? In case you don't, either ook it up on google, or here is a simple walkthrough for you.
Use aggressive,  formatting as well.

Ya sure , I'll definitely go through it.👍🏻",rahulraikwar00
https://github.com/HarshCasper/Rotten-Scripts,936,https://github.com/HarshCasper/Rotten-Scripts/pull/936,@vybhav72954  now pylint score is arround 9.07 which is fairly good  i guess ! what do you think?,rahulraikwar00
https://github.com/HarshCasper/Rotten-Scripts,936,https://github.com/HarshCasper/Rotten-Scripts/pull/936,@HarshCasper @vybhav72954  can you please have a look at this?,rahulraikwar00
https://github.com/HarshCasper/Rotten-Scripts,937,https://github.com/HarshCasper/Rotten-Scripts/pull/937,"@vybhav72954
This is for the issue #711",Dhanush2612
https://github.com/HarshCasper/Rotten-Scripts,937,https://github.com/HarshCasper/Rotten-Scripts/pull/937,"Just something I am wondering

This is what ourPR template looks like, why do you delete it every time?",vybhav72954
