,No,PR No,PR Url,PR Status,PR Contributors,Active PR Time,Active time(in Seconds)
17,0,17,https://github.com//HarshCasper/Rotten-Scripts/pull/1207,Merged,"['Sukriti-sood', 'HarshCasper']",0 days 18:45:00.000000000,67500.0
18,1,18,https://github.com//HarshCasper/Rotten-Scripts/pull/1202,Merged,"['rutujaingole', 'HarshCasper']",2 days 23:44:56.000000000,258296.0
20,2,20,https://github.com//HarshCasper/Rotten-Scripts/pull/1199,Merged,"['AliHaider20', 'HarshCasper']",0 days 21:47:13.000000000,78433.0
21,3,21,https://github.com//HarshCasper/Rotten-Scripts/pull/1198,Merged,['HarshCasper'],0 days 00:00:47.000000000,47.0
23,4,23,https://github.com//HarshCasper/Rotten-Scripts/pull/1190,Merged,"['YashKandalkar', 'HarshCasper', 'RohiniRG']",7 days 20:59:40.000000000,680380.0
27,5,27,https://github.com//HarshCasper/Rotten-Scripts/pull/1185,Merged,"['Sukriti-sood', 'HarshCasper']",0 days 19:20:41.000000000,69641.0
28,6,28,https://github.com//HarshCasper/Rotten-Scripts/pull/1184,Merged,"['Sukriti-sood', 'HarshCasper', 'iamakkkhil']",25 days 08:17:46.000000000,2189866.0
29,7,29,https://github.com//HarshCasper/Rotten-Scripts/pull/1182,Merged,"['Sukriti-sood', 'HarshCasper']",0 days 01:32:21.000000000,5541.0
31,8,31,https://github.com//HarshCasper/Rotten-Scripts/pull/1178,Merged,"['Cosine42', 'HarshCasper']",0 days 01:50:51.000000000,6651.0
32,9,32,https://github.com//HarshCasper/Rotten-Scripts/pull/1177,Merged,"['sumitgsh', 'HarshCasper']",26 days 09:36:00.000000000,2280960.0
34,10,34,https://github.com//HarshCasper/Rotten-Scripts/pull/1175,Merged,"['kadatatlukishore', 'vybhav72954', 'HarshCasper']",4 days 15:56:22.000000000,402982.0
35,11,35,https://github.com//HarshCasper/Rotten-Scripts/pull/1174,Merged,"['Sukriti-sood', 'HarshCasper']",1 days 13:14:16.000000000,134056.0
42,12,42,https://github.com//HarshCasper/Rotten-Scripts/pull/1161,Merged,"['YASHIKA791', 'HarshCasper']",0 days 06:53:00.000000000,24780.0
43,13,43,https://github.com//HarshCasper/Rotten-Scripts/pull/1160,Merged,"['Umesh-01', 'iamakkkhil', 'HarshCasper', 'vybhav72954', 'RohiniRG']",17 days 11:07:41.000000000,1508861.0
44,14,44,https://github.com//HarshCasper/Rotten-Scripts/pull/1156,Merged,"['tanvi355', 'iamakkkhil', 'HarshCasper', 'vybhav72954', 'Kumaravinash9', 'RohiniRG']",36 days 20:08:27.000000000,3182907.0
45,15,45,https://github.com//HarshCasper/Rotten-Scripts/pull/1154,Merged,[],0 days 01:06:21.000000000,3981.0
50,16,50,https://github.com//HarshCasper/Rotten-Scripts/pull/1139,Merged,[],0 days 00:02:20.000000000,140.0
51,17,51,https://github.com//HarshCasper/Rotten-Scripts/pull/1138,Merged,[],0 days 10:59:56.000000000,39596.0
52,18,52,https://github.com//HarshCasper/Rotten-Scripts/pull/1136,Merged,[],0 days 00:00:30.000000000,30.0
53,19,53,https://github.com//HarshCasper/Rotten-Scripts/pull/1135,Merged,[],0 days 00:00:17.000000000,17.0
54,20,54,https://github.com//HarshCasper/Rotten-Scripts/pull/1134,Merged,[],0 days 00:02:25.000000000,145.0
55,21,55,https://github.com//HarshCasper/Rotten-Scripts/pull/1132,Merged,[],0 days 02:49:15.000000000,10155.0
56,22,56,https://github.com//HarshCasper/Rotten-Scripts/pull/1131,Merged,[],0 days 08:40:18.000000000,31218.0
62,23,62,https://github.com//HarshCasper/Rotten-Scripts/pull/1124,Merged,[],24 days 14:36:40.000000000,2126200.0
63,24,63,https://github.com//HarshCasper/Rotten-Scripts/pull/1121,Merged,[],0 days 00:00:20.000000000,20.0
64,25,64,https://github.com//HarshCasper/Rotten-Scripts/pull/1120,Merged,[],0 days 00:00:43.000000000,43.0
65,26,65,https://github.com//HarshCasper/Rotten-Scripts/pull/1119,Merged,[],0 days 00:00:44.000000000,44.0
66,27,66,https://github.com//HarshCasper/Rotten-Scripts/pull/1118,Merged,[],0 days 00:00:39.000000000,39.0
67,28,67,https://github.com//HarshCasper/Rotten-Scripts/pull/1116,Merged,"['Umesh-01', 'HarshCasper']",0 days 18:35:37.000000000,66937.0
77,29,77,https://github.com//HarshCasper/Rotten-Scripts/pull/1092,Merged,"['RohiniRG', 'HarshCasper']",0 days 00:41:41.000000000,2501.0
78,30,78,https://github.com//HarshCasper/Rotten-Scripts/pull/1090,Merged,"['RohiniRG', 'HarshCasper']",0 days 02:08:09.000000000,7689.0
79,31,79,https://github.com//HarshCasper/Rotten-Scripts/pull/1089,Merged,"['Sukriti-sood', 'HarshCasper']",34 days 23:42:17.000000000,3022937.0
80,32,80,https://github.com//HarshCasper/Rotten-Scripts/pull/1088,Merged,"['Sukriti-sood', 'HarshCasper']",35 days 05:28:07.000000000,3043687.0
89,33,89,https://github.com//HarshCasper/Rotten-Scripts/pull/1072,Merged,"['Sukriti-sood', 'HarshCasper']",43 days 03:51:48.000000000,3729108.0
91,34,91,https://github.com//HarshCasper/Rotten-Scripts/pull/1067,Merged,"['N-Shar-ma', 'sohamsshah', 'HarshCasper']",16 days 07:58:24.000000000,1411104.0
93,35,93,https://github.com//HarshCasper/Rotten-Scripts/pull/1065,Merged,"['iamakkkhil', 'HarshCasper', 'vybhav72954']",13 days 22:18:01.000000000,1203481.0
94,36,94,https://github.com//HarshCasper/Rotten-Scripts/pull/1063,Merged,"['RohiniRG', 'HarshCasper', 'vybhav72954']",16 days 06:38:06.000000000,1406286.0
95,37,95,https://github.com//HarshCasper/Rotten-Scripts/pull/1062,Merged,"['tanishq-arya', 'vybhav72954', 'HarshCasper']",28 days 23:16:07.000000000,2502967.0
96,38,96,https://github.com//HarshCasper/Rotten-Scripts/pull/1061,Merged,"['Manasi2001', 'vybhav72954']",4 days 10:15:58.000000000,382558.0
97,39,97,https://github.com//HarshCasper/Rotten-Scripts/pull/1060,Merged,"['jhamadhav', 'HarshCasper', 'vybhav72954']",37 days 15:06:30.000000000,3251190.0
99,40,99,https://github.com//HarshCasper/Rotten-Scripts/pull/1058,Merged,['vybhav72954'],0 days 16:49:42.000000000,60582.0
100,41,100,https://github.com//HarshCasper/Rotten-Scripts/pull/1057,Merged,['vybhav72954'],0 days 16:50:05.000000000,60605.0
101,42,101,https://github.com//HarshCasper/Rotten-Scripts/pull/1056,Merged,['vybhav72954'],0 days 16:50:28.000000000,60628.0
